,model,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
10,model_11,"[0.18563999997615815, 0.2979799999332428, 0.3443800000095367, 0.3699799999046326, 0.3980400000762939, 0.4180599999904633, 0.4358799999809265, 0.4525199999809265, 0.46578000000953673, 0.48161999994277954, 0.4930999998664856, 0.5008599999427795, 0.5126000001716614, 0.52102, 0.5299000000953674, 0.5397399999809265, 0.5475600001525879, 0.5545200001716614, 0.5636799998283386, 0.5710400001335144]","[0.3354999999523163, 0.3702999997615814, 0.4145000003814697, 0.4272000003814697, 0.44880000014305116, 0.4769000002861023, 0.476699999666214, 0.5088999998569489, 0.5006000002384186, 0.5282999996185302, 0.5451000000953674, 0.5532000001907349, 0.5287000000476837, 0.5667000003814697, 0.5459000000953674, 0.5823999994277954, 0.5992999999046326, 0.6050000000953675, 0.6046000002861023, 0.6139999996185302]",0.614,"[2.160025723953247, 1.9215194249343872, 1.8077196720123292, 1.7357071214294433, 1.663818405456543, 1.6095147289657592, 1.563713331565857, 1.520290654411316, 1.48376840675354, 1.4493865656661988, 1.423991904220581, 1.394834351348877, 1.3676850852584839, 1.3465312530899047, 1.3222921523666382, 1.2999441209411622, 1.2814874813079833, 1.2595428548812866, 1.241106971282959, 1.2211065071105958]","[1.9473875005722046, 1.7838846258163452, 1.653994250869751, 1.6095398946762085, 1.526340779685974, 1.4480490617752075, 1.4473139268875121, 1.3705605766296387, 1.4118095478057862, 1.3114100389480592, 1.2790881898880004, 1.2742066270828247, 1.2994625452041626, 1.2214101886749267, 1.2764424745559693, 1.1828803073883056, 1.1430067543029785, 1.1270236585617066, 1.1226099348068237, 1.1033665269851685]",1.1033665010452272
11,model_12,"[0.18375999996185302, 0.2944000000667572, 0.340799999961853, 0.36609999993324277, 0.387479999961853, 0.412, 0.43189999999046325, 0.4490399999237061, 0.46097999998092654, 0.4745999999046326, 0.4837999998474121, 0.4958199999523163, 0.5047800001716614, 0.5146400001716613, 0.5229199999237061, 0.5317200000762939, 0.5397599998092651, 0.548679999961853, 0.5557199999427795, 0.5638400001144409]","[0.3142000003814697, 0.35550000014305116, 0.38260000019073487, 0.39720000019073487, 0.4492999999523163, 0.44870000014305117, 0.4836000002384186, 0.5046000001907348, 0.5099999998569489, 0.5241000000476838, 0.541100000333786, 0.5345000002384186, 0.5652000003814698, 0.5541000001907349, 0.5537000003814697, 0.5815000003814698, 0.5784000003814698, 0.5986, 0.5977, 0.5811999998092652]",0.5812,"[2.175508693084717, 1.9284809251785278, 1.8179994552230836, 1.7499463608932495, 1.6837924007415772, 1.6239350770950318, 1.5739523378753661, 1.529203556213379, 1.4960844158172608, 1.4694810548782349, 1.435069390449524, 1.4098984269332886, 1.3879238858795167, 1.3624058934783936, 1.3441798805618286, 1.315744221458435, 1.2961848459625245, 1.277402925567627, 1.2575013189697266, 1.242344319114685]","[1.9915752508163451, 1.8166967990875245, 1.7359049142837524, 1.6800120471954345, 1.538700276374817, 1.5437268915176392, 1.4383313047409059, 1.3960158657073976, 1.3625605014801025, 1.3463955402374268, 1.2884721620559692, 1.3113106367111207, 1.2395952974319457, 1.2761297414779662, 1.256279774093628, 1.1828505941390992, 1.2018778366088867, 1.1355259141921996, 1.132623305130005, 1.1895449314117432]",1.1895448900222778
12,model_13,"[0.17033999998569488, 0.28400000002861026, 0.33516, 0.36768, 0.39080000003814697, 0.4096, 0.4327399999713898, 0.44732, 0.4659600001716614, 0.477, 0.48723999999046325, 0.5030799998474121, 0.5108999998664856, 0.5205400000572205, 0.5284400001907349, 0.5395799998664856, 0.5450800001907349, 0.553, 0.56092, 0.568920000076294]","[0.2969999998092651, 0.3439999997615814, 0.4125999997615814, 0.4038999997615814, 0.43660000014305117, 0.47790000038146974, 0.494999999666214, 0.4972000000476837, 0.5060999998092651, 0.5334999996185302, 0.5437999997138977, 0.5520000003814697, 0.5607999999046326, 0.5777999992370606, 0.5578000003814697, 0.5605000002861023, 0.5841999998092652, 0.6044000004768372, 0.6008000003814697, 0.611400000667572]",0.6114,"[2.182027124557495, 1.9530920058822632, 1.826701298675537, 1.748831622314453, 1.6840586000061035, 1.6269626082611084, 1.5751930978012085, 1.5343104819869995, 1.492377280883789, 1.4603276371383667, 1.433324221496582, 1.400161610145569, 1.3778079684066773, 1.3552096348571778, 1.3274249221801757, 1.3049158012771607, 1.284981073036194, 1.2633752590179443, 1.2472861505508424, 1.222608334350586]","[2.0113887462615967, 1.84924946269989, 1.669756993675232, 1.6412233777999878, 1.591264114189148, 1.453067665863037, 1.4071777082443238, 1.3941335876464844, 1.3653677352905274, 1.3021819301605224, 1.2779646245956422, 1.2710897008895874, 1.2394102460861207, 1.207238928604126, 1.2503099685668946, 1.2328039358139038, 1.1763972961425782, 1.1317042161941528, 1.1316581161499024, 1.1043973512649536]",1.1043973514556884
13,model_14,"[0.18847999990463257, 0.2981199999332428, 0.33967999997138976, 0.364300000038147, 0.38957999990463255, 0.41151999998092653, 0.42756000004768374, 0.4456399999809265, 0.457919999961853, 0.47059999999046326, 0.4812799998855591, 0.49284000001907347, 0.5024199999046326, 0.5126399999523162, 0.5230799998664856, 0.5303399999809265, 0.5350199999809265, 0.5438000000572205, 0.5546799999046326, 0.5617199998664856]","[0.3140000002861023, 0.3814999997138977, 0.37450000009536744, 0.3902999997138977, 0.4383000003814697, 0.4641000002384186, 0.48039999990463256, 0.4975999999523163, 0.5089999998569489, 0.5237999997615814, 0.5386999999046326, 0.5459999998092652, 0.5594999998092651, 0.5581000005722045, 0.5490999993324279, 0.5786000007629395, 0.588400000667572, 0.6037999997138978, 0.5838000007629395, 0.6114000000953674]",0.6114,"[2.1574905308914185, 1.9295247610473634, 1.820340135307312, 1.7515617419433593, 1.6868309145736695, 1.6250148986053468, 1.578552635154724, 1.5401078855133057, 1.5036336714935303, 1.4696226401519776, 1.4474299576187133, 1.4103197082519532, 1.3920262393951417, 1.3674358326339722, 1.345877434310913, 1.3234515238189697, 1.3022821224975587, 1.2805180448532105, 1.263951202507019, 1.2432603198242187]","[1.9698866704940796, 1.7637032766342162, 1.7692839542388916, 1.69655192527771, 1.5693326665878296, 1.4887933177947998, 1.4411839189529418, 1.4148051746368409, 1.385449787902832, 1.3366301546096802, 1.2942847425460815, 1.2842840047836304, 1.2504843429565429, 1.2419320009231567, 1.3006439807891845, 1.1922531269073486, 1.1643110204696656, 1.14322015914917, 1.1778774307250977, 1.1135654043197631]",1.11356535987854
14,model_15,"[0.19166000009536743, 0.3009, 0.3482400000286102, 0.37654000008583066, 0.3964999999046326, 0.4163799999427795, 0.4361200000476837, 0.45198000007629396, 0.4633200000858307, 0.4781600000190735, 0.48764000009536745, 0.4999599999809265, 0.5110599999523163, 0.5209600000286102, 0.5292599999427795, 0.5360600001907349, 0.5469399998092651, 0.5569400000572204, 0.5635200000953674, 0.5733000000190734]","[0.3268000000953674, 0.36500000023841855, 0.39529999971389773, 0.43639999976158145, 0.4610999999046326, 0.4801999997615814, 0.479199999666214, 0.5092999998569488, 0.513700000333786, 0.5263999996185302, 0.5442999996185303, 0.5615000002861023, 0.5632000001907349, 0.5653000003814698, 0.5558000000953675, 0.5581000005722045, 0.5884999994277954, 0.5900999992370606, 0.6073, 0.6198999999046325]",0.6199,"[2.1564952788543703, 1.9159545090866088, 1.800038172607422, 1.7219950901794434, 1.662828165283203, 1.6082319437026977, 1.5662878707885741, 1.5248775406265258, 1.491153602104187, 1.451331280708313, 1.4301879190063476, 1.4015384512710571, 1.3780229233932495, 1.3440523627853393, 1.321548455429077, 1.3011815166473388, 1.2784293576431274, 1.2597518324279786, 1.2425801064300537, 1.2179183408355714]","[1.96332354183197, 1.7994788663864136, 1.6941110292434693, 1.5652037017822265, 1.5036496404647828, 1.4864674129486084, 1.4569612819671631, 1.373249510383606, 1.368713006591797, 1.3322293441772461, 1.279225241470337, 1.2475804998397828, 1.231697485923767, 1.2449441022872925, 1.2471065505981445, 1.2531337171554566, 1.162134698486328, 1.1674167783737182, 1.1297271690368653, 1.084482597541809]",1.0844825870513917
15,model_16,"[0.18890000000953674, 0.29742000006675723, 0.3391200000858307, 0.36934000009536744, 0.3922399999427795, 0.4133800000858307, 0.4268999999713898, 0.44714000011444094, 0.46153999992370603, 0.4778199999427795, 0.49034000001907346, 0.4991399999141693, 0.50922, 0.5186000000762939, 0.5282800000572204, 0.533180000076294, 0.5435399999046325, 0.5517600000572205, 0.556260000076294, 0.566219999961853]","[0.314899999666214, 0.3718000000476837, 0.40530000019073487, 0.4175000000953674, 0.44450000014305113, 0.46250000014305115, 0.4927000000953674, 0.4920999997615814, 0.4994999998569489, 0.5215000002384186, 0.5417000002384186, 0.5463000000953674, 0.5351, 0.5637000000953675, 0.5810999994277954, 0.5909999995231628, 0.5899999994277955, 0.5790000004768372, 0.5919, 0.6225999999046326]",0.6226,"[2.158305497589111, 1.9338188948822022, 1.8265902122879027, 1.7507162463760375, 1.6857512339401246, 1.6256315991973878, 1.5773116970443726, 1.5395137802124024, 1.4941478616333008, 1.4599214709472657, 1.4293927807998656, 1.4026925910949708, 1.3764540451049805, 1.353577073020935, 1.331170382461548, 1.3140803685760498, 1.287193691520691, 1.2674731587982178, 1.2535381042098999, 1.2323097634887696]","[1.9780913511276246, 1.7806171628952026, 1.6984824405670167, 1.650868440246582, 1.5470465509414673, 1.4961921543121337, 1.4118760261535646, 1.4353339193344117, 1.4124755352020264, 1.350028973197937, 1.2983568147659301, 1.274087006187439, 1.302171085357666, 1.2299338457107545, 1.195931806755066, 1.1647370336532592, 1.1676108095169067, 1.1949528701782226, 1.1595171880722046, 1.0893244398117066]",1.089324423789978
16,model_17,"[0.18421999991416932, 0.29894000004768373, 0.34689999994277954, 0.3699199999809265, 0.3979400000858307, 0.41455999996185305, 0.4304799999141693, 0.4456000001716614, 0.46392000001907346, 0.4752399999523163, 0.4893799999523163, 0.49966000005722044, 0.5082599999237061, 0.5171000000190735, 0.5263199998855591, 0.53458, 0.541220000038147, 0.5529, 0.558220000114441, 0.5680599998474121]","[0.3318000002384186, 0.3861000001430511, 0.4112000001907349, 0.4138000001907349, 0.4515000003814697, 0.4423000000953674, 0.44549999995231626, 0.5020000000476837, 0.5130000000476838, 0.5388000000953674, 0.5313999998092651, 0.5579000001907348, 0.5674000002861023, 0.5551000005722045, 0.5846000007629395, 0.5888999994277954, 0.5896999994277954, 0.6046999996185303, 0.6032999999046326, 0.6067999997138978]",0.6068,"[2.166969857559204, 1.9237403928375245, 1.8111041800308227, 1.7351371984481812, 1.6683088193130493, 1.6175432717895508, 1.5723371726608277, 1.539976740913391, 1.4924706985473633, 1.46502372467041, 1.4338022649765014, 1.406687121925354, 1.3804594707870483, 1.357735498161316, 1.3350115594100953, 1.3150266927337646, 1.2953572674560547, 1.2724122733306884, 1.2536057570648194, 1.233006026916504]","[1.9798867189407348, 1.7596201189041139, 1.6664252090454101, 1.6551152070999144, 1.5217133499145508, 1.5708524948120117, 1.5317587102890016, 1.3923027017593383, 1.3637884244918823, 1.3100370994567871, 1.3221133417129516, 1.2577550071716308, 1.231610369873047, 1.252602682685852, 1.1915103075027467, 1.1665479118347168, 1.1719532125473022, 1.1336282815933227, 1.1276757862091065, 1.1279581489562989]",1.1279580966949463
17,model_18,"[0.17824000009536742, 0.2931400000476837, 0.3403400000190735, 0.3720399999809265, 0.39475999998092653, 0.41866, 0.43373999995231627, 0.45257999996185305, 0.4667199999523163, 0.4793400000286102, 0.4902600000667572, 0.501200000038147, 0.5106999999046326, 0.5207199998664856, 0.5301600000190735, 0.5372999999809265, 0.546640000038147, 0.5548800001144409, 0.5632199999809265, 0.5699799998664856]","[0.28820000009536745, 0.3839000002384186, 0.4141999997138977, 0.4304999999523163, 0.4468999997138977, 0.47720000009536745, 0.49509999985694886, 0.5187999998092652, 0.5065999998569488, 0.5358999999046326, 0.5193000001907349, 0.5589000002861023, 0.5677000005722046, 0.5602000001907349, 0.5911999994277954, 0.587900000667572, 0.5990999998092651, 0.6048999998092651, 0.6104000000953674, 0.6217000002861023]",0.6217,"[2.1781898713684082, 1.9349771743774413, 1.8159574367904663, 1.7388468698120116, 1.6694231089401246, 1.6119328297424316, 1.5647288368988037, 1.5216884726715088, 1.4833837503814697, 1.4545284923553468, 1.4261353425598144, 1.3980341275787354, 1.3718267490768432, 1.346385885848999, 1.3254312992858888, 1.3061920505142213, 1.2829184938430787, 1.2599371712493896, 1.2447426942062378, 1.2215890314483642]","[2.011074636077881, 1.7752258934020997, 1.6630573711395265, 1.5898281610488891, 1.5533856252670288, 1.458720475769043, 1.41638322429657, 1.3568398429870605, 1.4012268114089965, 1.3065887454986573, 1.3509551010131835, 1.2627992532730103, 1.2281355991363525, 1.2455872097015381, 1.1839330062866211, 1.1771882387161254, 1.155183616256714, 1.1213543685913085, 1.1164746099472045, 1.0874617370605468]",1.087461743927002
18,model_19,"[0.19378000008583068, 0.29669999992370605, 0.3457200000667572, 0.3756600000667572, 0.39672000007629393, 0.41842, 0.4394799999523163, 0.45407999996185305, 0.46908000001907346, 0.48307999994277956, 0.493620000038147, 0.5058400000572204, 0.5178799998092651, 0.523179999961853, 0.5326400000190735, 0.5426999999046326, 0.5557799999427795, 0.5631400001907348, 0.5688200001144409, 0.5753400001144409]","[0.28829999980926513, 0.37859999985694887, 0.4121000003814697, 0.4137, 0.43249999976158143, 0.4812999997138977, 0.48140000009536743, 0.48770000019073484, 0.5192999997615814, 0.5234000001430511, 0.5561000001907349, 0.5609000003814697, 0.5652000005722045, 0.5748999996185302, 0.5844999997138977, 0.5966999999046325, 0.5912999999046326, 0.6060000004768371, 0.6099000004768371, 0.6041999997138977]",0.6042,"[2.1507628134918213, 1.9346885277557373, 1.80595159576416, 1.7223470254516602, 1.6586815269470214, 1.6061250857925415, 1.5549407253265382, 1.5221640641021728, 1.4813205676269532, 1.446393681526184, 1.4187148376083374, 1.3877214752578735, 1.35690642162323, 1.3386908506393433, 1.3149528578186036, 1.2908753136062623, 1.2655073720550538, 1.2467739416503907, 1.2277047233581544, 1.2070799130249024]","[1.9860537048339844, 1.7883838434219361, 1.6678540609359742, 1.6669750713348388, 1.5672100429534912, 1.4489334060668946, 1.447772172164917, 1.44335115814209, 1.3349183647155762, 1.3240063262939452, 1.2634698987960815, 1.246051484298706, 1.2293970726013184, 1.2048893489837647, 1.1795332887649537, 1.1426899335861207, 1.1555475255966186, 1.1272699878692627, 1.1036841989517212, 1.126571314239502]",1.1265712661743164
19,model_20,"[0.1877200000143051, 0.30222000004768373, 0.34035999990463256, 0.37315999994277954, 0.3948199999713898, 0.41709999999046327, 0.4318800000190735, 0.4504800001144409, 0.46486000001907346, 0.47578000007629395, 0.48883999998092653, 0.4966000001716614, 0.5054200000190735, 0.5173999998664855, 0.5256599998092651, 0.5367000001335144, 0.5429200000953674, 0.5513399998474121, 0.5602799998855591, 0.5662399998092651]","[0.3122000002861023, 0.3813000002384186, 0.40839999990463255, 0.4340999999523163, 0.41469999985694883, 0.45310000009536744, 0.4883999998569489, 0.47869999980926514, 0.5105000003337861, 0.5175000000476837, 0.5530000001907348, 0.5433999997138977, 0.5469000002861023, 0.5616000002861022, 0.577699999332428, 0.5807999994277954, 0.5718000004768372, 0.594499999332428, 0.599299999332428, 0.6184999999046326]",0.6185,"[2.1598360132598877, 1.9134027420425415, 1.8122155349731446, 1.736584091835022, 1.6681011681365967, 1.615804054222107, 1.5677546262741089, 1.5285933798217775, 1.4905159926223754, 1.4606921058273314, 1.4352481023788453, 1.4034022620010376, 1.3797230508804321, 1.3505889513397218, 1.3317474524688722, 1.3107319583511352, 1.2899238418197632, 1.271669819908142, 1.2473873380661011, 1.2281577554702758]","[1.9675516426086426, 1.75230014629364, 1.668286384010315, 1.5758912797927855, 1.6459876794815063, 1.5303090106964112, 1.4211443870544433, 1.4686390687942505, 1.366403302192688, 1.3620388494491578, 1.2786695302963256, 1.2830381662368775, 1.2895034336090088, 1.2343572984695435, 1.2012791566848755, 1.1929383501052857, 1.2136047878265381, 1.1491463626861573, 1.1376091075897217, 1.0875991165161132]",1.087599115562439
